股票,股價,紀念品,最後買進,開會日期,零股寄單
華宇藥（6621）,13.15,統一超商50元商品卡,3月17日,5月18日,否
慧友（5484）,40.75,白人牙膏,3月18日,5月21日,否
東鹼（1708）,39.3,小蘇打粉,3月18日,5月20日,否
兆勁（2444）,13.2,防疫消毒酒精瓶,3月18日,5月20日,否
東森（2614）,21,森美妍白茶賦活保濕素顏霜,3月18日,5月20日,否
泰豐（2102）,18.7,超商商品卡(50元),3月18日,5月20日,否
均豪（5443）,96.7,磁吸可掛式開瓶器露營燈或等值商品,3月18日,5月20日,否
互動（6486）,85.6,全家便利商店禮物卡35元,3月18日,5月21日,否
力新（5202）,14.8,常健順暢益生菌,3月18日,5月21日,否
合一（4743）,57.3,棉花田紅景天精華飲(30ml*5包/盒),3月18日,5月20日,否
巨有科技（8227）,127,高露潔牙膏牙刷旅行組,3月18日,5月21日,否
昇陽半導體（8028）,189,原木隔熱桌墊,3月18日,5月21日,否
亞電（4939）,33.8,統一超商35元商品卡,3月18日,5月20日,否
廣運（6125）,59.6,便利商店禮物卡35元,3月18日,5月21日,否
智捷（8176）,10.85,香皂*1,3月18日,5月20日,否
光聯（5315）,23.15,愛心皂,3月19日,5月22日,否
嘉裕（1417）,8.63,機能襪,3月19日,5月22日,否
中鴻（2014）,17.35,統一超商45元咖啡卡,3月19日,5月22日,否
鼎元（2426）,33.85,統一超商50元商品卡,3月19日,5月22日,否
志聖（2467）,363.5,磁吸可掛式開瓶器露營燈(USB充電),3月19日,5月22日,否
晶豪科（3006）,161,鋼珠對筆,3月19日,5月22日,否
華孚（6235）,49,有機白米,3月19日,5月22日,否
中天（4128）,18.1,棉花田紅景天精華飲(30ml*5包/盒),3月19日,5月22日,否
信立（4303）,59,【朝和生醫】保健產品乙包,3月19日,5月22日,否
華容（5328）,26.8,真空壓縮收納袋組(附抽氣泵),3月19日,5月22日,否
大亞（1609）,35.95,7-11商品卡35元,3月19日,5月22日,否
台泥（1101）,24.6,折疊環保提包,3月19日,5月22日,否
恩德（1528）,22.4,7-11 50元商品卡，或其他等值商品,3月19日,5月22日,否
太極（4934）,18.65,超商商品卡新台幣35元,3月19日,5月22日,否
中石化（1314）,8.74,統一超商100元商品卡,3月19日,5月22日,否
日電貿（3090）,92.4,無患子潔手慕斯,3月19日,5月22日,否
九齊（6494）,45.9,香皂,3月19日,5月22日,否
廣豐（1416）,11.7,毛巾,3月19日,5月22日,否
慶豐富（9935）,19.55,全家商品券,3月19日,5月22日,否
廣華-KY（1338）,15.15,統一超商商品卡50元,3月19日,5月22日,否
東和鋼鐵（2006）,77.7,皮革質感修容組,3月19日,5月22日,否
元晶（6443）,50.6,全家便利商店50元禮券,3月19日,5月22日,否
智原（3035）,151.5,便利商店商品卡50元,3月24日,5月25日,否
康普（4739）,77.9,超商35元禮物卡,3月24日,5月25日,否
正文（4906）,26.15,指甲剪套裝組,3月24日,5月25日,否
台通（8011）,20.4,野餐墊,3月24日,5月25日,否
光洋科（1785）,82,伊甸小羊苗質樸暖心舒活皂,3月24日,5月25日,否
中裕（4147）,50.6,超商50元商品卡,3月24日,5月25日,否
沛波（6248）,20.1,滋補強身 甲魚全沛,3月24日,5月25日,否
金寶（2312）,22.8,再生布卡夾,3月24日,5月25日,否
台苯（1310）,11.85,常健順暢益生菌,3月24日,5月25日,否
根基（2546）,83.4,環球購物中心禮券100元,3月24日,5月25日,否
